"x1_methyladenosine_282_1_150_0","x1_methylhistamine_126_0_109_0","x2_aminoadipate_160_1_116_0","x2_deoxyuridine_229_1_113_0","x3_nitro_tyrosine_225_0_179_3","x4_pyridoxic_acid_182_1_138_0","x5_hydroxytryptophan_221_0_134_0","acetoacetate_101_0_57_0","acetylcholine_146_1_87_0","aconitate_173_0_129_0","adenosine_268_1_136_0","adenylosuccinate_462_1_79_0","adipic_acid_144_9_83_0","alanine_90_0_44_0","allantoin_157_0_114_0","alpha_ketoglutaric_acid_145_0_101_0","aminoisobutyrate_104_1_86_0","amp_346_1_134_0","anthranilate_136_0_118_0","arginine_175_1_70_0","asparagine_133_1_74_0","aspartic_acid_132_0_88_0","betaine_118_0_58_0","biotin_243_1_200_0","carnitine_163_1_85_0","choline_104_1_60_0","citraconic_acid_129_0_85_0","citrulline_174_0_131_0","creatine_132_1_90_0","creatinine_114_1_44_0","cystamine_153_0_108_0","cystathionine_221_1_134_0","cystine_239_0_97_0","cytidine_244_1_112_0","cytosine_112_0_95_0","d_ga3p_dhap_168_9_78_8","dimethylglycine_104_1_58_0","d_leucic_acid_133_1_87_0","dtmp_321_1_79_0","epinephrine_184_1_166_3","erythrose_199_0_97_0","f16bp_f26bp_339_0_79_0","fructose_179_0_89_0_3","fumaric_115_0_71_0","g16bp_339_0_79_0_2","gama_aminobutyrate_102_1_85_0","glucoronate_193_0_113_0","glucose_179_0_89_0","glutamic_acid_148_1_84_0","glutamine_147_1_84_0","glutaric_acid_131_0_87_0","glyceraldehyde_89_0_59_0","glycerate_105_0_75_0","glycerol_3_p_171_0_79_0","glycine_76_0_30_2","glycochenodeoxycholate_448_3_74_0","glycocholate_464_3_74_0","guanidinoacetate_116_1_70_0","guanosine_284_1_152_0","histidine_156_1_110_0","homogentisate_167_0_123_0","homovanilate_181_0_137_0","hydroxyproline_aminolevulinate_132_1_86_2","hypoxanthine_135_0_92_0","hyppuric_acid_178_0_134_0","imp_347_0_79_0","inosine_269_1_137_0","kynorenate_188_0_144_0","lactate_89_0_43_0","leucine_iso_leucine_132_1_86_2_2","linoleic_acid_277_1_259_0","linolenic_acid_279_1_261_0","l_kynurenine_209_1_94_0","lysine_147_1_84_0_2","malate_133_0_115_0","maleic_acid_115_0_71_0_2","malonic_acid_3hba_103_0_59_0","margaric_acid_269_1_251_3","methionine_150_1_61_0","methyl_succinate_131_0_113_0","n2_n2_dimethylguanosine_312_1_180_0","n_acetyl_glycine_116_0_74_0","niacinamide_123_0_80_0","oh_phenylpyruvate_179_0_107_0","ornithine_133_1_70_0","orotate_155_0_111_0","oxalic_acid_89_0_61_0","oxaloacetate_131_0_87_0_2","pentothenate_218_1_88_0","pep_166_9_79_0","phenylalanine_166_1_120_2","proline_116_1_70_0","propionate_73_0_55_0","pyridoxal_5_p_246_0_96_9","pyroglutamic_acid_130_0_83_4","pyruvate_87_0_43_0","reduced_glutatione_306_1_143_0","salicylurate_196_1_152_0","serine_106_0_60_0","shikimic_acid_173_0_93_0","sorbitol_183_0_91_0","succinate_methylmalonate_117_0_73_0","taurine_126_0_108_0","threonine_120_1_102_0","trimethylamine_n_oxide_76_1_58_0","tryptophan_205_1_146_0","tyrosine_182_1_136_3","urate_167_0_124_0","uridine_245_0_113_0","valine_118_1_72_0","xanthine_151_0_108_0","xanthosine_283_1_151_0","xanthurenate_204_0_160_0"
363294.259461835,17960.9847988331,211814.173331696,13208.3531981763,58280.35986721,377980.5305802,92021.8995226388,105611.118157085,1479267.31624528,402559.218052755,22651.0795294942,11703.3919988377,73690.3039547491,3327652.39082337,65278.5647583405,1531386.84642036,53857.1382290525,208101.785077313,16980.1750744623,18008829.8712048,555844.94018248,1289185.70428026,43149036.5088578,107885.385226554,102326.454286236,7088617.96714784,553505.260687753,8166904.75633823,15533181.3649928,10819552.0034646,226943.177123177,5998.64168101644,232896.422756754,10540.1811419261,60466.618700643,886456.848251157,663995.72433043,87505.219804293,203445.126996113,493633.518905603,151974.574304809,805823.069053086,87921.511333483,2788267.32692406,439982.168137214,22480.9712493523,492599.467837149,39368688.4710126,1061614.92635158,32197042.5004596,324611.538339363,45301.3781996125,221252.621526366,136403.438970084,209978.015190453,511476.397481339,62060.7801097965,25363.6043858308,2896.40665279894,22835789.3344968,1077149.51820995,943109.947432134,1355918.30808708,1160976.06407794,67530.9392047203,71216.1430816031,31632.503488968,24464.57019968,14308206.6444876,17478311.244424,56789.2650621128,696222.304836672,55953.3168805787,7482173.09922018,2346910.37021651,2486482.93046211,5369323.68785003,71626.4180576624,338104.798109373,934552.235202281,17005.1573809941,999993.139515524,60150.1866161026,72856.9030129693,3122835.61591332,58574.0046234254,51321.8974885038,331071.774792196,297924.319764855,93025.4148992009,8782478.24110081,24726523.2527512,6334.33852053971,37225.7795866696,79601.2642739441,66663.8787733981,110255.363240329,21678.8083946792,2165296.0781159,9052156.3057925,86724.561962182,1731038.0354826,664774.804926723,193825.178891413,9525494.92922965,2029724.58462323,2469302.39293846,58136608.1783026,16218.8561763029,1801232.00309104,916582.181004919,14422.4181851771,59609.4102795514
258236.789777519,42811.3292752103,129057.647700178,12801.0125109574,52553.1666134245,394767.907583009,83536.4583112106,36859.9620302118,1861487.74751439,283089.180434447,28074.8191163683,11832.8163396151,54388.7145742739,6076068.80762842,40632.3453755376,1813739.17578612,61458.6660857367,207222.496232627,16840.6675373342,19325199.700326,857089.805509578,1605507.31954509,37223916.9305534,160927.639740068,106592.267794015,12650749.8512134,443552.459124494,7130428.03557834,6003677.94683309,11409945.2098154,145055.050746594,8132.50109205888,213279.441026529,17044.6919283251,27303.5386748554,937282.438306356,1451584.74400146,13986.1305780357,210928.629867449,430824.434954497,146976.836110243,812505.012648783,71787.5381236739,2321405.26176202,476780.673047527,27415.5888986356,442360.938326515,43763767.9014912,2057308.29809717,33820577.1380708,319943.849457138,29817.8369718511,155252.575905606,462130.70150905,195609.382099359,436584.674007551,73157.7531685842,44101.9549238046,15641.3029604442,25936858.0344523,1372287.64480297,788371.668540924,831556.39173371,3355572.26130779,148243.456232953,69691.3537604872,97077.769635127,60910.0760483705,23847495.6568992,32870765.9976684,35724.7085151658,516253.998354085,70626.0721352595,10945600.9982749,3310508.47458927,2033799.81505449,2061325.26769824,59986.8193178209,869297.477703201,1680939.14916006,7897.39875988084,309531.843480984,248081.333052707,57530.9389662712,5047883.07451056,60490.4830542789,90465.1662865984,276934.222365418,103427.362202852,95972.1401546023,11745707.8680796,44754128.3128596,6488.50105278499,44573.7021805105,110513.407281452,73206.3415878286,97392.8791553655,13353.1088838922,2827701.04625681,1365158.46617783,92453.7732549759,1500361.53656435,1917643.99131858,305381.365846043,3648629.77886601,4434096.26939269,2854151.30138252,62576152.5934681,24505.9227350689,2733193.92572568,2188601.12244498,6836.2135974401,144114.001359297
414501.111439549,27448.7349687059,419826.633680116,15743.5807925166,83879.0563866496,347876.887845064,71699.6425113205,165972.978495999,2801578.08297711,1056708.00439818,20947.0885077745,8932.25144361592,87200.0448124649,8076007.26348594,121592.72481858,1447859.17954701,45739.4767265259,221866.605816661,38753.1355261845,11215599.1513069,502938.847386981,1498927.56215089,36402236.706494,146184.066311198,98492.7806308007,8824991.56329788,1546985.17103354,3871079.71143834,2462485.840642,14976766.5472184,323331.736583107,24276.660733433,231502.533855046,13910.2729938439,54849.5245115195,898441.971665267,817373.392288731,88529.1380034855,203031.988884308,377281.530378935,113332.581301786,849063.891808696,102850.820730265,2323950.4100143,483042.319499858,33247.293367777,488138.860985539,64574514.6021129,2635805.71283521,28555465.2112746,389061.932633289,73615.4125081967,310705.080967043,141366.026581316,150162.79253749,686636.548653048,230250.413017029,38841.8338405886,13856.7341306615,15151100.3348669,1327351.91378942,867584.739592961,1230772.56688725,2305470.7276691,321923.41445985,177755.700899334,109536.079690608,91881.6895603179,30716482.141122,26266010.9584987,32100.0415882549,656647.932581172,131753.114121551,6784034.00111099,8949258.4431756,2104630.96281989,10197980.9754264,89752.3341632569,414875.802946895,874561.369951848,31220.6575539258,250944.349721968,38152.1598602837,95358.6464504319,2733260.29055575,3415275.88796787,117056.198213173,446427.412534127,110863.847970844,123499.373707143,11933044.1836521,37168210.9933946,17063.5788840951,162999.935840562,105335.047030802,108727.616363306,129680.095371959,15635.3670635305,1981240.71372249,4034765.17830165,70051.9825790953,2163297.61348685,855526.353738691,174144.073628932,9361590.15117208,3094647.47334278,2399463.05114965,62604029.2455627,23763.9195803304,2274919.50083516,19021848.1642255,3167609.83271024,89328.4962703793
176265.80949642,31305.1183472961,74719.5948913285,12988.760375995,44804.9790217793,299757.728432139,64873.5861040903,84477.4812817109,1373226.90129722,206869.912971865,13788.6830976032,11026.2872464317,90735.5233426548,8346693.04853426,25907.8174871328,1655456.24545649,92873.3655396566,187101.323455604,9143.60675869447,18090485.1774272,699804.714921442,1062456.27258752,33049020.5479765,125963.986073611,72006.4154496174,14601451.2771914,255757.995622351,8976801.32224701,4839156.91177259,9728873.06159172,79080.3243647755,14958.466180474,156759.094013106,10272.2168612675,11464.3493339487,912167.983733113,1017880.98379328,24588.2901029223,179105.923936506,376861.137598668,136324.341538375,869955.305864299,45738.4476027256,4111700.22141795,467763.972950564,20143.8246502108,351108.554791962,31579096.2147089,3016453.2494728,30027215.5122219,576451.247132728,41061.6516819181,166879.077292389,586066.969546158,254158.946948269,2067994.32081062,674456.60614784,43750.0057872574,2480.96037692983,17079609.5029474,1349831.55084085,1513552.42706972,1313700.99851973,1637715.35315145,2734064.09811328,68570.5834942407,11678.9410994091,44949.4917170653,18789638.5369554,31810186.5365482,35420.1903781083,694066.674422586,60276.2493122383,9303300.7643921,4224498.77563496,3361287.73834609,2539520.28634317,58007.0048686057,759330.849072976,1291323.46491494,5015.26200713963,177146.708864927,64873.6067458255,44458.3279685831,3056038.1336264,40585.8468895753,64669.8839697878,439040.059102083,54377.1154518701,107743.635013398,8261941.37039751,40192825.2413543,7313.96749032488,25397.582854275,92206.6074503744,98706.4674565956,89097.3602577254,33510.2454918619,2277520.96435079,126081.747892146,70780.3779220045,3264678.41213514,1094468.86730929,259791.205502592,2666587.42582036,2044943.96854137,2023406.28663475,62599990.2671322,18914.3907824798,3306426.34114255,716628.627082944,13172.9846082598,54699.5985158756
390953.972474578,34627.3364528224,141257.364048247,13115.8131165012,92919.4748248407,333815.060513111,68873.4980689317,46020.719642031,2564886.30415577,410576.683693571,18463.9309978395,40454.4054812138,107486.334427616,6586434.856753,75953.5074853133,1606659.70462363,45770.4032002906,189077.446503355,37656.3025129624,14408397.1545765,612822.54364662,1450449.18974347,29263377.3363932,85293.4211739695,79426.4407502122,7341329.71302397,592862.247653947,9286752.0282997,3979060.13763751,8986268.60013034,46487.5527509535,11222.5113298325,180593.945086334,8396.55208189363,6394.59646714551,880330.711640496,378881.646357987,30296.3373827556,212198.105771409,283866.723036437,87779.5469640405,837592.885109823,413142.721367755,1390460.68744864,529982.882465457,27653.9377702762,287107.646247786,71819441.4981637,2146499.20309408,27445433.2049745,228233.321196504,43991.7625660186,261736.47883851,111440.770985328,212965.216972945,540321.874039608,111522.509167126,33599.6384826753,51250.3258556326,10310343.0034108,821023.04197511,471975.497756197,1005622.42347457,2351423.24022862,623205.536478863,160352.914850394,202134.188063109,48293.0303051482,41685226.0775189,17412701.5160433,28086.0866993212,422897.378522264,51157.6480267814,5526950.57430566,3906745.15625528,1243825.2753482,3241861.16457427,43383.896683528,572901.811387705,1206096.99318666,10045.1118981797,251785.388992248,44110.469890459,53984.557806076,2550098.54098471,57092.8677884708,169147.101806216,199340.318171377,49261.8102010262,103184.250859332,8060267.70352421,34185567.9730977,8922.94250057117,240426.589753611,70199.8427059375,286691.828017759,60000.3517521502,14952.1907500737,2595918.94777176,73674225.8937974,54815.3149940042,1887384.19841417,1490660.95198107,349331.69690582,5528106.8510295,3215493.5371502,1565983.01253347,41098991.7473688,13120.7779472772,1787241.5610015,1457306.95089608,23223.9999697563,92263.9927835546
335439.425978148,26145.042669328,139376.609506502,8096.16310706964,101151.896089598,343985.922243733,66860.8568185814,1,1428366.69442224,364173.327677615,16364.2111662604,72836.7754434075,47408.6907815324,5174452.75865415,110470.212816056,1651156.9748408,48943.0349461147,209206.930210006,73998.2759625527,12446878.5362514,666025.71616948,1750564.83805425,27410375.6568665,163178.966769591,111167.809542793,8948226.19875095,494361.826218553,5618490.77881526,11111220.2036995,8547350.6478436,101211.903421436,14325.5487944939,166320.236700852,10931.6764814829,19259.4972539726,893194.385052328,1132975.67972697,21478.1644303731,207246.983669634,255966.429425332,107193.621999253,816861.39701765,647212.990917174,1260575.91637611,455008.388914175,22269.5284237638,426162.105471,90012362.6012187,6194040.07718961,28020130.8379856,245924.335360584,79494.0103059432,508750.264110307,107094.003471717,140399.256387392,649080.68435301,312330.42156599,64220.5210149867,4891.05873342714,10946349.5482805,1167111.47372074,571243.090646222,1161699.81939234,1741509.96791621,465970.154941143,167486.764139485,15665.0630188383,52211.7214789346,41636951.1427271,33518286.2894761,28581.4533288661,387165.0399058,52142.6582670757,10773087.4300031,4748620.73687269,1040636.75063853,3866031.35263191,58593.0921721811,699661.595381711,1300555.87890315,11209.4249318589,150696.283611774,43381.0409307146,119575.855425928,4192525.60293136,71462.9170927211,163583.363106148,213265.165858037,150987.248972366,111414.337029488,12148708.431546,26117475.6886912,20045.8107464861,216733.540936404,47102.5399711263,213546.401587196,59319.8871536147,28489.5371728768,2896479.79260714,22820494.4905588,91597.511158736,3018456.35023387,1037177.52224669,229827.630249791,7087490.36614223,4240719.1470878,2815786.460056,55478689.5615926,20922.1982253981,3777982.82074917,1906608.2522403,22841.1801740979,109521.819944228
485945.980958228,48011.9858287462,182545.141164339,13856.4388518192,94915.3015761974,361172.197486728,82766.9868829097,227644.369911385,1894203.91438957,762102.627704186,26547.2478029474,65611.1099547739,183090.410669129,8680054.43270672,101672.176814129,1797641.86468029,47496.7316427104,240835.639706092,59039.2093832876,20585118.7574268,644242.897078899,1429311.03367165,37671805.2221593,151739.199114338,130215.81143576,8145949.26145163,1064081.83092063,11524548.464472,8503786.38815408,9147397.54492509,122823.329437272,16565.2714990742,219837.172347082,42492.2884980389,31046.6011481965,995995.755199777,1724289.99505921,25760.017705141,240475.066112984,361988.46226159,129290.428422194,1154858.46538071,304831.40634791,2254888.93986426,644204.598972551,22573.8543932153,145440.064505631,90930896.249437,2541571.74367644,33310999.9193591,378525.978912621,92060.486801568,334641.035094419,185096.937133646,148439.360936097,284552.55982152,53704.8720817526,59999.6348553421,47875.3886544861,18324445.3555635,1493324.02895598,822118.20130935,882570.02817037,2305219.5153122,111299.520816287,74534.4003123979,178163.494341419,46262.2571847507,43857552.8039584,33608389.3112541,46366.1973051765,723876.610229243,108640.686055075,11963271.1798693,5841170.59170299,2009558.68279345,7751352.28716538,76656.1198438047,845714.012456133,1278227.86836937,18090.2599929175,192028.530455614,29977.5994472958,84516.7625432187,5428904.78842856,81449.6091921333,172757.45337953,268050.076621423,174968.97672544,184891.445859578,12215840.0824302,38546851.886636,25712.4440275946,271419.23357217,64508.6056084254,194818.672857128,85019.6893629256,59983.3682959078,2756307.26403885,15266188.9584447,107400.110762504,2652692.5513622,1504064.23258011,322252.909942417,3543646.30876109,4795111.99672777,3249245.0380898,73240982.7558295,24563.5560855804,4080337.02403246,1946336.00037607,21460.6705119022,116772.610462432
412250.638671452,44478.1854122078,235936.477220514,15692.6312057686,89317.6025018742,355881.335644862,74736.2924885203,280533.328018115,1888025.63923502,423137.655568618,73117.0409585984,102060.068914372,112881.675993588,4279927.21644076,92616.6992142293,2029241.26198349,41428.0624621547,247713.415588323,80234.2163420471,13235173.0217022,664675.090796141,784487.540400448,40648429.5462336,228928.488565606,108698.33724237,7448130.73454248,604718.024312424,9463051.28540322,26553857.3207274,8446473.13753276,269854.159654254,22905.5364112752,211085.421029098,94882.073741038,37243.7073517787,1046740.33453411,1841235.1622128,29538.3431074578,248278.355704049,334637.912714775,146468.219994174,1085508.7297006,288821.125410768,1544702.58330363,675634.241139432,28084.396665657,153327.62868816,58585066.9274951,916836.312567994,35270755.2249666,476215.218080444,50096.3197168088,280725.106428327,246864.263812664,244690.33322979,81362.6806116675,27141.8273018825,62971.1413938314,144356.053959682,16778006.0244248,1265819.56217209,700807.024474163,1171827.26628286,2398416.95521728,1123298.08913826,70479.2041738557,468747.350505005,29299.8694448819,29811656.8137765,24906859.4376521,76911.7019834365,727009.969174809,69773.151834567,10422215.1602938,3906514.64966106,1414320.23639635,12833406.296246,53634.4600251312,691369.99175275,1258303.00244053,9933.64145105121,670778.092509288,59266.6642653873,62317.7897659784,3577527.46334325,61238.2503152244,122719.759830249,358378.420441542,249633.556192296,190119.186528545,8331824.43989988,22335274.5469994,24014.1435181545,14929.4469966797,73709.1738851875,110992.779134492,72764.0032286075,31510.3625301894,2734459.37922905,22777349.2647638,81699.1913756214,2658213.96941823,1871037.2269092,244374.462272742,3315206.25235813,3745846.98931357,2358759.24483664,60438804.2387633,39397.0842069686,3826590.12895243,1595857.30215676,12900.2852825866,107025.262582846
475436.05444129,27004.5902616215,192158.926285094,13499.2924848817,124574.426123277,365754.651076398,84518.3062954125,2513230.59304938,909045.188603767,635572.827534303,17654.7188781391,32291.3093603973,219130.681776024,5168972.86101166,134065.231539887,1770765.67435993,51585.1876696377,221216.725403446,93758.2340420367,15654424.9970522,606646.636141477,1123322.54748186,33462638.6844535,156971.653664685,106201.288993095,7625977.0059905,832236.575521138,8760079.24379202,13973869.3986195,5964266.81867986,65659.1859546,3235.0082789544,220734.040173748,21300.1895530528,1,961845.039697369,2372213.64876291,19046.5745851656,228093.60443405,357818.777499119,179086.195494117,1145989.97673108,394451.39668381,2275541.76637993,655506.014840457,22880.4214994623,154252.560352126,91559043.0144965,2821757.63574439,32675684.3946173,421829.435337152,75385.4308666055,422313.639875142,167205.58128851,111393.104412365,112854.698743137,27980.7519053377,53313.2164944277,42076.7342481419,16695551.0099919,1346616.83700955,908214.888219938,1398131.4710701,1754942.90806919,56398.9410836611,127958.58557506,143250.10470057,47347.8461791779,35496359.860153,32762685.2163098,58498.378335171,1117770.93359126,54509.6322231581,9856875.74004316,3673152.95154653,2110279.69323234,59594349.0197073,52736.1629187227,573376.849525886,1177499.15990522,13891.7693982264,246410.304111839,47774.7749269614,118680.838007324,4000851.15735271,86459.3207168372,138229.311784663,254882.901972918,82803.6508604783,184231.694359409,9080322.14451097,31860770.4731823,15227.2067163611,154140.023628922,60836.8569792811,218647.322242922,82140.9577335896,50380.3526830698,2700044.61741334,22915234.5925303,74026.2844141702,1636887.20162931,905258.839649598,269091.050510756,3384769.88601698,3229368.52929296,2310545.8788451,64944958.7659826,22505.2154259898,3453311.89139177,1105121.67122922,20347.7755720835,78953.8474113082
572292.400919844,24993.8916102992,315959.863660441,11377.6768773259,77819.5329530503,325985.234529542,83426.2720350498,165897.649515186,2272223.83413559,511938.834160797,28239.8777630478,46815.5074617862,404444.873886035,3943359.96643544,163702.169404652,927654.743278173,51182.6899531288,227540.168793623,105382.006104744,14559513.0033381,456356.621204882,1258009.46607907,33525120.3476074,115913.327274347,85197.3742828289,12056336.0899117,759657.810160252,8078629.99151878,4906919.1197709,14998586.794593,275006.389033526,73631.1009341308,261767.187007401,32476.7481010768,96035.5247470263,1016285.26205732,492778.645111893,41240.7537473975,209701.309010893,446914.14991905,160904.940354181,1226400.69423864,4153457.88521413,3928683.11254966,784048.816228242,13149.4218006628,307600.702948356,65174767.9651863,2700930.60773846,16182419.3802642,482316.93336924,71139.5123689877,464465.936757188,160245.1710617,116395.482948452,1614909.45880327,265440.432345942,41059.5062367364,12375.3262375099,11751781.9688382,1439205.51155399,898158.899189514,716466.345929582,1116140.23236295,790195.023975001,62392.0075598141,34204.7263743884,44394.2175984478,33329780.4505078,19675358.3662789,18923.998059432,167330.978402552,146373.039123244,7060170.5828262,4808541.67106107,3906649.03727182,2647679.37828327,46177.0275765755,464485.20531016,835011.348496871,25857.4089967335,179141.835088521,38779.1001504676,52176.0151573996,3127919.23646026,308272.622716758,110467.35564799,530524.084565914,200554.188897641,132994.342300729,11031536.2096105,32164238.8486689,20667.9615897745,33808.0923093823,90458.7344227433,277468.464094136,88048.615673632,31585.4528467586,1863850.44666869,9569071.53584708,145706.035949426,2602761.13250813,803424.482764879,157407.664480523,7059774.58576952,3666791.80597615,3983087.66394175,65181127.2957985,14819.7200398971,2595551.12267468,892982.863385169,39486.7875137017,101377.52746795
